iter	Passed	Remaining
0	151	75722
1	169	42209
2	188	31186
3	202	25169
4	212	20995
5	222	18351
6	242	17095
7	260	16007
8	277	15131
9	293	14381
10	309	13759
11	325	13247
12	344	12905
13	360	12508
14	376	12162
15	391	11833
16	409	11630
17	426	11410
18	443	11222
19	461	11075
20	478	10909
21	497	10818
22	525	10905
23	548	10868
24	565	10752
25	582	10617
26	599	10499
27	616	10394
28	632	10280
29	649	10168
30	667	10097
31	684	10005
32	700	9908
33	723	9912
34	746	9913
35	765	9863
36	787	9857
37	807	9812
38	832	9834
39	853	9814
40	877	9818
41	897	9783
42	916	9738
43	935	9696
44	1035	10471
45	1067	10534
46	1090	10508
47	1111	10464
48	1146	10551
49	1171	10543
50	1195	10523
51	1220	10511
52	1243	10490
53	1278	10555
54	1323	10707
55	1355	10743
56	1388	10787
57	1411	10759
58	1435	10729
59	1464	10738
60	1493	10744
61	1515	10708
62	1546	10728
63	1576	10738
64	1609	10774
65	1638	10771
66	1669	10790
67	1694	10762
68	1724	10773
69	1751	10757
70	1775	10728
71	1806	10737
72	1838	10752
73	1868	10755
74	1894	10733
75	1925	10740
76	1948	10703
77	1969	10654
78	1988	10596
79	2005	10529
80	2022	10461
81	2044	10423
82	2061	10358
83	2079	10296
84	2096	10234
85	2112	10171
86	2132	10122
87	2150	10069
88	2169	10017
89	2187	9965
90	2206	9915
91	2224	9864
92	2243	9817
93	2261	9768
94	2282	9730
95	2300	9679
96	2316	9623
97	2334	9574
98	2351	9524
99	2367	9471
100	2384	9419
101	2401	9370
102	2419	9326
103	2439	9288
104	2456	9240
105	2474	9196
106	2491	9149
107	2518	9142
108	2546	9133
109	2571	9118
110	2601	9118
111	2624	9093
112	2651	9079
113	2672	9048
114	2702	9048
115	2739	9067
116	2776	9090
117	2806	9084
118	2833	9072
119	2856	9046
120	2881	9026
121	2907	9008
122	2941	9016
123	2975	9022
124	3006	9020
125	3022	8972
126	3046	8948
127	3072	8929
128	3098	8910
129	3124	8893
130	3151	8876
131	3179	8864
132	3201	8834
133	3227	8814
134	3266	8831
135	3317	8878
136	3346	8865
137	3374	8850
138	3401	8833
139	3431	8824
140	3457	8802
141	3483	8783
142	3507	8755
143	3538	8746
144	3566	8730
145	3602	8734
146	3629	8715
147	3655	8694
148	3687	8686
149	3718	8676
150	3748	8662
151	3773	8638
152	3796	8609
153	3817	8577
154	3844	8556
155	3895	8590
156	3947	8623
157	3975	8604
158	4003	8586
159	4036	8578
160	4070	8570
161	4099	8552
162	4124	8526
163	4150	8503
164	4178	8482
165	4204	8460
166	4235	8445
167	4263	8424
168	4294	8410
169	4332	8409
170	4360	8388
171	4390	8372
172	4420	8355
173	4448	8335
174	4482	8324
175	4509	8301
176	4536	8278
177	4566	8260
178	4599	8248
179	4627	8226
180	4659	8211
181	4690	8195
182	4724	8183
183	4758	8172
184	4787	8151
185	4817	8132
186	4850	8118
187	4876	8092
188	4905	8071
189	4932	8047
190	4964	8031
191	4995	8014
192	5031	8003
193	5061	7984
194	5087	7957
195	5110	7926
196	5137	7902
197	5163	7875
198	5185	7842
199	5214	7821
200	5237	7791
201	5262	7763
202	5287	7736
203	5309	7704
204	5344	7691
205	5367	7660
206	5392	7632
207	5412	7597
208	5431	7561
209	5450	7526
210	5472	7495
211	5500	7471
212	5524	7444
213	5551	7419
214	5575	7390
215	5605	7370
216	5634	7348
217	5660	7322
218	5684	7293
219	5708	7265
220	5730	7234
221	5756	7208
222	5783	7184
223	5802	7149
224	5820	7114
225	5842	7083
226	5864	7052
227	5887	7024
228	5907	6991
229	5936	6968
230	5964	6945
231	5997	6928
232	6026	6906
233	6051	6878
234	6078	6854
235	6103	6827
236	6127	6799
237	6173	6795
238	6204	6775
239	6233	6752
240	6270	6738
241	6296	6712
242	6324	6688
243	6362	6675
244	6396	6657
245	6427	6636
246	6467	6624
247	6494	6599
248	6522	6574
249	6554	6554
250	6598	6546
251	6631	6526
252	6676	6518
253	6704	6492
254	6724	6460
255	6746	6430
256	6768	6399
257	6794	6372
258	6815	6342
259	6837	6311
260	6865	6286
261	6892	6261
262	6911	6228
263	6936	6201
264	6957	6169
265	6988	6147
266	7012	6119
267	7055	6107
268	7087	6086
269	7111	6057
270	7135	6029
271	7164	6005
272	7189	5977
273	7211	5947
274	7229	5915
275	7245	5880
276	7305	5881
277	7331	5854
278	7350	5822
279	7383	5800
280	7423	5785
281	7452	5760
282	7489	5742
283	7521	5720
284	7545	5692
285	7573	5666
286	7597	5638
287	7627	5614
288	7654	5588
289	7688	5567
290	7717	5542
291	7752	5522
292	7788	5502
293	7815	5475
294	7839	5447
295	7862	5418
296	7886	5390
297	7908	5360
298	7928	5329
299	7954	5302
300	7984	5278
301	8012	5253
302	8039	5226
303	8088	5214
304	8119	5190
305	8155	5170
306	8191	5149
307	8216	5122
308	8242	5094
309	8265	5066
310	8287	5036
311	8309	5006
312	8337	4980
313	8363	4954
314	8388	4926
315	8418	4901
316	8442	4873
317	8464	4844
318	8501	4823
319	8544	4806
320	8576	4782
321	8608	4758
322	8642	4736
323	8675	4712
324	8712	4691
325	8735	4662
326	8758	4633
327	8775	4602
328	8793	4570
329	8811	4539
330	8832	4509
331	8863	4485
332	8885	4456
333	8904	4425
334	8923	4395
335	8988	4387
336	9017	4361
337	9044	4335
338	9068	4307
339	9089	4277
340	9126	4255
341	9148	4226
342	9168	4196
343	9192	4168
344	9217	4141
345	9237	4111
346	9259	4082
347	9280	4053
348	9301	4024
349	9325	3996
350	9349	3968
351	9370	3939
352	9391	3910
353	9420	3885
354	9444	3857
355	9469	3830
356	9491	3801
357	9514	3773
358	9536	3745
359	9559	3717
360	9582	3689
361	9608	3662
362	9631	3635
363	9653	3606
364	9678	3579
365	9706	3553
366	9726	3524
367	9755	3499
368	9775	3470
369	9796	3442
370	9819	3414
371	9841	3386
372	9865	3359
373	9889	3331
374	9915	3305
375	9935	3276
376	9955	3248
377	9978	3220
378	10002	3193
379	10024	3165
380	10048	3138
381	10072	3111
382	10094	3083
383	10118	3056
384	10139	3028
385	10160	3000
386	10181	2972
387	10202	2945
388	10222	2917
389	10245	2889
390	10262	2860
391	10279	2832
392	10296	2803
393	10315	2775
394	10330	2746
395	10348	2717
396	10371	2690
397	10392	2663
398	10417	2637
399	10442	2610
400	10463	2583
401	10482	2555
402	10499	2527
403	10517	2499
404	10534	2470
405	10550	2442
406	10569	2415
407	10586	2387
408	10607	2359
409	10633	2334
410	10651	2306
411	10667	2278
412	10683	2250
413	10699	2222
414	10715	2194
415	10737	2168
416	10753	2140
417	10770	2112
418	10787	2085
419	10806	2058
420	10825	2031
421	10851	2005
422	10869	1978
423	10887	1951
424	10904	1924
425	10922	1897
426	10939	1870
427	10955	1842
428	10972	1815
429	10989	1788
430	11011	1762
431	11032	1736
432	11050	1709
433	11069	1683
434	11088	1656
435	11117	1631
436	11153	1607
437	11181	1582
438	11204	1556
439	11224	1530
440	11247	1504
441	11270	1478
442	11296	1453
443	11315	1427
444	11338	1401
445	11360	1375
446	11383	1349
447	11415	1324
448	11457	1301
449	11492	1276
450	11527	1252
451	11624	1234
452	11660	1209
453	11691	1184
454	11714	1158
455	11742	1133
456	11763	1106
457	11784	1080
458	11801	1054
459	11819	1027
460	11841	1001
461	11861	975
462	11881	949
463	11907	923
464	11937	898
465	11966	873
466	11985	846
467	12003	820
468	12023	794
469	12041	768
470	12064	742
471	12084	716
472	12102	690
473	12120	664
474	12136	638
475	12154	612
476	12173	586
477	12192	561
478	12214	535
479	12232	509
480	12251	483
481	12271	458
482	12286	432
483	12302	406
484	12319	381
485	12334	355
486	12350	329
487	12365	304
488	12383	278
489	12405	253
490	12426	227
491	12464	202
492	12497	177
493	12517	152
494	12535	126
495	12565	101
496	12595	76
497	12617	50
498	12646	25
499	12681	0
